Whats happening?,News_Corona_Virus
NEWS,News_Corona_Virus
whats happening,News_Corona_Virus
What is in the NEWS?,News_Corona_Virus
Who can I get it from?,PersonToPerson
person to person,PersonToPerson
Why is  Corona Virus (COVID-19) spreading between people?,PersonToPerson
Why is it so contagious?,PersonToPerson
How does  Corona Virus (COVID-19) spread?,PersonToPerson
Can someone who has had COVID-19 spread the illness to others?,PersonToPerson
Can I catch it from my friend?,PersonToPerson
Can  Corona Virus (COVID-19) spread from person-to-person?,PersonToPerson
how do I prepare my household in case corona virus hits my community?,PrepareFamily
should my household plan ahead?,PrepareFamily
How can my family and I prepare for COVID-19?,PrepareFamily
what goes into a family emergency plan?,PrepareFamily
Prepare family,PrepareFamily
How do I prepare my children in case of COVID-19 outbreak in our community?,PreparingChildren
what should I tell my child about this pandemic?,PreparingChildren
how do I keep my kids from worrying about the virus?,PreparingChildren
Preparing children,PreparingChildren
My child is stressed about the crisis how can I help?,PreparingChildren
are packages from China infected?,ProductsFromChina
Am I at risk for COVID-19 from a package or products shipping from China?,ProductsFromChina
should i stop buying products from China?,ProductsFromChina
Products from China,ProductsFromChina
is it safe to buy Chinese products?,ProductsFromChina
what will protect my kids from getting the infection?,ProtectingChildren
is handwashing important for children?,ProtectingChildren
Protecting children,ProtectingChildren
should I disinfect my kid's toys?,ProtectingChildren
How can I protect my child from COVID-19 infection?,ProtectingChildren
lower my family's risk of getting sick,ReduceFamilyRisk
Reduce family risk,ReduceFamilyRisk
What should I have my family do to keep from getting sick?,ReduceFamilyRisk
What steps can my family take to reduce our risk of getting COVID-19?,ReduceFamilyRisk
what are the top tips to keep my family from catching it?,ReduceFamilyRisk
will my office be closed?,ReportingToWork
Reporting to work,ReportingToWork
Should I go to work if there is an outbreak in my community?,ReportingToWork
what are my work from home options?,ReportingToWork
I'm supposed to work but my child's school is canceled,ReportingToWork
Risk to children,RiskToChildren
What is the risk of my child becoming sick with COVID-19?,RiskToChildren
Can corona virus infect an infant?,RiskToChildren
Are kids at increased risk of infection?,RiskToChildren
do children catch covid-19?,RiskToChildren
Are children at higher risk of getting sick?,RiskToChildren
Can corona virus affect the pets?,RiskToPets
Is there any danger to pets?,RiskToPets
Are my pets in risk?,RiskToPets
Risk to pets,RiskToPets
Should I be concerned about pets or other animals and COVID-19?,RiskToPets
why are schools closing?,schoolclosing
Will schools be dismissed if there is an outbreak in my community?,schoolclosing
school closing,schoolclosing
how do I know if my school is closing?,schoolclosing
who gets to decide if the school will close?,schoolclosing
how do I keep my child engaged in schoolwork?,Schoolfromhome
I need tips for at home learning,Schoolfromhome
"While school’s out, how can I help my child continue learning?",Schoolfromhome
Tips for my child's schedule when school is canceled.,Schoolfromhome
School from home,Schoolfromhome
what is the incubation period of this corona virus?,spreadinquarantine
Can someone who has been quarantined for COVID-19 spread the illness to others?,spreadinquarantine
does quarantining people stop the spread of corona virus?,spreadinquarantine
spread in quarantine,spreadinquarantine
what is a quarantine?,spreadinquarantine
does putting infected people into quarantine help?,spreadinquarantine
does the virus stick to packaged food?,spreadviafood
spread via food,spreadviafood
do I need to wash my groceries?,spreadviafood
"Can the virus that causes COVID-19 be spread through food, including refrigerated or frozen food?",spreadviafood
does it spread on food packaging?,spreadviafood
should I stay home sick even if I don't feel very bad?,StayingHomeWhenSick
what symptoms should make me stay home from work,StayingHomeWhenSick
what if an employee shows respiratory symptoms at work?,StayingHomeWhenSick
should I stay home if I don't feel well?,StayingHomeWhenSick
I need to work even though I'm not feeling well,StayingHomeWhenSick
How do I keep employees who interact with customers safe?,StayingSafeAtWork
is the pandemic causing discrimination against Chinese people?,Stigmatizedgroups
What causes stereotyping and blame?,Stigmatizedgroups
Why might someone blame or avoid individuals and groups (create stigma) because of COVID-19?,Stigmatizedgroups
Stigmatized groups,Stigmatizedgroups
are Asian people being unfarely blamed for corona virus?,Stigmatizedgroups
what symptoms should I watch for?,Symptoms
Symptoms,Symptoms
does covid-19 cause coughing?,Symptoms
does covid-19 cause fever?,Symptoms
What are the symptoms and complications that COVID-19 can cause?,Symptoms
is fever a sign of this infection?,Symptoms
Are the symptoms of COVID-19 different in children than in adults?,Symptomsinchildren
do children react differently to the virus than adults do?,Symptomsinchildren
Symptoms in children,Symptomsinchildren
what are the symptoms in children?,Symptomsinchildren
do kids get different symptoms?,Symptomsinchildren
Should I be tested for COVID-19?,Testing
who should get tested?,Testing
can my doctor test me if I start feeling sick?,Testing
Testing,Testing
should I head to the doctor if I show symptoms?,Testing
will the virus go away during warmer months?,warmerweather
does it get less contagious in the summer?,warmerweather
Will warm weather stop the outbreak of COVID-19?,warmerweather
i heard the spread will slow down in warmer months,warmerweather
weather in,warmerweather
Should I use a face mask when in public?,Wearingfacemasks
Do face masks do anything?,Wearingfacemasks
Someone in my household is sick should we wear masks at home?,Wearingfacemasks
What do face masks do? ,Wearingfacemasks
Wearing face masks,Wearingfacemasks
Should my child wear a face mask?,Wearingfacemasks
Should I wear a face mask?,Wearingfacemasks
Do I need to wear a face mask?,Wearingfacemasks
Does CDC recommend the use of facemask to prevent COVID-19?,Wearingfacemasks
What is a novel coronavirus?,WhatisCovid
What is COVID 19?,WhatisCovid
What is Covid,WhatisCovid
what is carona virus?,WhatisCovid
When did  Corona Virus (COVID-19) start?,WhatisCovid
Carona Virus,WhatisCovid
How did the  Corona Virus (COVID-19) spread from China?,WhatisCovid
Why did  Corona Virus (COVID-19) spread?,WhatisCovid
Where was  Corona Virus (COVID-19) first spotted.,WhatisCovid
Where did  Corona Virus (COVID-19) appear?,WhatisCovid
When did  Corona Virus (COVID-19) appear?,WhatisCovid
What is SARS-CoV-2?,WhatisCovid
covid 19,WhatisCovid
Where did corona virus originate from?,Wherediditstart
What is the source of the virus?,Wherediditstart
Where did it start,Wherediditstart
which location did corona virus start from?,Wherediditstart
is covid an abbreviation?,Whythename
why is covid-19 the name for this disease?,Whythename
is corona virus the same as covid-19?,Whythename
"Why is the disease being called coronavirus disease 2019, COVID-19?",Whythename
Why the name,Whythename
why was covid-19 used to name this disease?,Whythename
do I need to wear a mask at work?,WorkplaceFaceCoverings
Do we need to provide masks for employees?,WorkplaceFaceCoverings
do I need a special mask for work?,WorkplaceFaceCoverings
are face coverings required at work?,WorkplaceFaceCoverings
should customers in my workplace have on masks?,WorkplaceFaceCoverings
how do I rearrange my workplace for social distance?,WorkplaceSocialDistancing
How can my workplace practice social distancing?,WorkplaceSocialDistancing
how can we adjust the business for social distancing?,WorkplaceSocialDistancing
any recommendations for workplace social distancing?,WorkplaceSocialDistancing
how do I practice social distancing at work?,WorkplaceSocialDistancing
